"arna0440-dos-code_text" "arna0440-source_text" "blac0350-code_text" "dove0550-code_text" "jame0551-code_text" "long0500-code_text" "muno0370-code_text" "olss0551-code_text" "oska0551-code_text" "supn0350-code_text" "vane0560-code_text" "wood0350-code_text" "wood043b-code_text"
"rspeak" 0 0.962232379119557 0 0 0 0 0 0 0 0 0 0.396213955535989 0.879550451991205
"at" 0 0.408948761125812 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.435991881530482 0.440237728373322 0.317615440996824
"endif" 0 0 0 0 0 0 0 0 0 0 1.23280463053447 0 0.0244319569997557
"kk" 0 0.529227808515757 0 0 0 0 0 0 0 0 0.270615650605127 0.352190182698657 0.90398240899096
"it" 0 0.0721674284339668 0 0 0 1.27551020408163 0 0 1.46443514644351 0 0.338269563256408 0.498936092156431 0.708526752992915
"place" 0 0.577339427471734 0 0 0 0 0 0 0 0 0.308201157633616 0.374202069117323 0.366479354996335
"t" 0 0.120279047389945 0 0 0 1.27551020408163 0 0 1.25523012552301 0 0.315718259039314 0.484261501210654 0.610798924993892
"toting" 0 0.757757998556651 0 0 0 0 0 0 0 0 0.142824926708261 0.359527478171546 0.366479354996335
"move" 0 0.637478951166707 0 0 0 0 0 0 0 0 0.270615650605127 0.27881722796977 0.390911311996091
"cc" 0 1.68390666345923 0 0 0 0 0 0 0 0 0 0 0
"he" 0 0.0601395236949723 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0 0.601658228776873 1.14830197898852
"wd" 0 0.637478951166707 0 0 0 0 0 0 0 0 0.00751710140569796 0.410888546481767 0.659662838993403
"bird" 0 0.384892951647823 0 0 0 0 0 0 0 0 0.345786664662106 0.322841000807102 0.317615440996824
"bear" 0 0.433004570603801 0 0 0 0 0 0 0 0 0.293166954822221 0.322841000807102 0.317615440996824
"end" 0 0.312725523213856 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.308201157633616 0.33751559175288 0.415343268995847
"verb" 0 0.312725523213856 0 0 0 0 0 0 0 0 0.375855070284898 0.33751559175288 0.244319569997557
"lt" 0 0.962232379119557 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.127790723896865 0.227456159659549 0
"object" 0 0 0 0 0 0 0 0 0 0 0.338269563256408 0.557634455939541 0.073295870999267
"x" 0 0.445032475342795 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0526197098398857 0.44757502384621 0.34204739799658
"bottle" 0 0.34880923743084 0 0 0 0 0 0 0 0 0.413440577313388 0.242130750605327 0.0977278279990227
"be" 0 0.0360837142169834 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.300684056227918 0.396213955535989 0.464207182995358
"lamp" 0 0.252585999518884 0 0 0 0 0 0 0 0 0.338269563256408 0.234793455132438 0.488639139995114
"fixed" 0 0.445032475342795 0 0 0 0 0 0 0 0 0.233030143576637 0.286154523442659 0.219887612997801
"dloc" 0 0.517199903776762 0 0 0 0 0 0 0 0 0.195444636548147 0.212781568713772 0.390911311996091
"s" 0 0 0 0 0 1.53061224489796 0 0 1.25523012552301 0 0.157859129519657 0.381539364590212 0.708526752992915
"n" 0 0.264613904257878 0 0 0 0 0 0 0 0 0.240547244982335 0.396213955535989 0.0244319569997557
"we" 0 0 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.112756521085469 0.418225841954656 0.781822623992182
"hint" 0 0.228530190040895 0 0 0 0 0 0 0 0 0.240547244982335 0.227456159659549 0.610798924993892
"drop" 0 0.34880923743084 0 0 0 0 0 0 0 0 0.270615650605127 0.234793455132438 0.195455655998045
"tally" 0 0.336781332691845 0 0 0 0 0 0 0 0 0.308201157633616 0.198106977767995 0.219887612997801
"rtext" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.518679996993159 0.132071318511996 0.0488639139995114
"from" 0 0.120279047389945 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.187927535142449 0.403551251008878 0.244319569997557
"h" 0 1.10656723598749 0 0 0 0 0 0 0 0 0 0.0293491818915548 0.073295870999267
"dragon" 0 0.324753427952851 0 0 0 0 0 0 0 0 0.270615650605127 0.227456159659549 0.0977278279990227
"ge" 0 0.541255713254751 0 0 0 1.02040816326531 0 0 0.836820083682008 0 0.0977223182740735 0.234793455132438 0
