"anon0501-data_text" "arna0440-dos-data_text" "arna0440-linux-data_text" "arna0440-source-data_text" "arna0660-data_text" "arna0770-data_text" "beck0500-data_text" "bhch0565-data_text" "cox_0350-data_text" "CROW0000-data_text" "daim0350-data_text" "ekma0350-data_text" "gill0350-data_text" "goet0350-data_text" "kenn0000-data_text" "kenw0550-data_text" "kine0350-data_text" "kint0350-data_text" "long0500-data_text" "lumm0350-data_text" "malm0350-data_text" "malm1000-data_text" "mcdo0551-data_text" "munk0430-data_text" "nels0350-data_text" "oska0551-data_text" "plat0550-data_text" "plot0350-data_text" "pohl0350-data_text" "russ0000-data_text" "ticm0350-data_text" "vane0560-data_text" "well0550-data_text" "whin0450-data_text" "wood0350-data_text" "wood0430-data_text" "wood043b-data_text"
"s" 0.50421432871764 1.13536478171696 1.13536478171696 1.13536478171696 0.433541017653167 0.751317095518058 0 0.28594122319301 0.392296718972896 0.167112299465241 0.380589914367269 0.332068311195446 0.331871518312196 0.343516132989817 0.37593984962406 0 0.332778702163062 0.271974286067499 0.50421432871764 0.380047505938242 0.371609067261241 0.605853741786842 0.225479143179256 0.393111194309247 1.06525346608854 1.02706690120865 0.320512820512821 0 0.37593984962406 0.167112299465241 0.271974286067499 0 0.256895619253651 0.396083177467268 0.332936979785969 0.393111194309247 0.393111194309247
"on" 0.624623720650211 0.307647231174919 0.307647231174919 0.307647231174919 0.451713395638629 0.416889363976483 0 0.587768069896743 0.534950071326676 0.568181818181818 0.535204567078972 0.533681214421252 0.533364940144601 0.55207949944792 0.552161654135338 0 0.534822914190635 0.556311039683521 0.624623720650211 0.534441805225653 1.56075808249721 0.583098671672782 1.69109357384442 0.533508049419693 0.535303249290723 0.618509901832832 0.347633136094675 0 0.552161654135338 0.568181818181818 0.556311039683521 0 0.635478637101136 0.649136318626912 0.535077288941736 0.533508049419693 0.533508049419693
"here" 0.316074653822998 0.0878992089071198 0.0878992089071198 0.0878992089071198 0.334890965732087 0.468809651065129 0 0.492454328832407 0.748930099857347 0.935828877005348 0.749286393910561 0.723434535104364 0.72300580775157 0.736105999263894 0.740131578947368 0 0.724982172569527 0.741748052911361 0.316074653822998 0.748218527315915 0.548123374210331 0.409591262053076 0 0.72070385623362 0.321181949574434 0.590137887987289 0.564595660749507 0 0.740131578947368 0.935828877005348 0.741748052911361 0 0.486749594375338 0.715150181538123 0.725326991676576 0.72070385623362 0.72070385623362
"your" 0.609572546658639 0 0 0 0.669781931464174 0.713140413835229 0 0.142970611596505 0.463623395149786 0.334224598930481 0.463843958135109 0.557400379506641 0.568922602820908 0.57661636609005 0.528665413533835 0 0.558592821487996 0.556311039683521 0.609572546658639 0.475059382422803 0.157933853586027 0.179196177148221 0.56369785794814 0.645825533508049 0.224827364702104 0.561765874141747 0.367357001972387 0 0.528665413533835 0.334224598930481 0.556311039683521 0 0.0946457544618713 0.495103971834085 0.558858501783591 0.645825533508049 0.645825533508049
"west" 0.391330523780855 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.451713395638629 0.061082690692525 0 0.778395552025417 0.558725630052306 0.802139037433155 0.558991436726927 0.498102466793169 0.497807277468294 0.515274199484726 0.552161654135338 0 0.499168053244592 0.581035974780566 0.391330523780855 0.558194774346793 1.17985878855444 0.83340444292744 0 0.439910146012729 0.492478989347465 0.947625262441128 0.465976331360947 0 0.552161654135338 0.802139037433155 0.581035974780566 0 0.703082747431044 0.528110903289691 0.499405469678954 0.439910146012729 0.439910146012729
"up" 0.391330523780855 0.183123351889833 0.183123351889833 0.183123351889833 0.407580477673936 0.340536000610827 0 0.508339952343129 0.546837850689491 0.467914438502674 0.54709800190295 0.486242884250474 0.485954723242859 0.490737332842596 0.540413533834586 0 0.487283099595912 0.494498701940907 0.391330523780855 0.558194774346793 1.05908584169454 0.480700856159513 0.225479143179256 0.430550355672033 0.331888014560248 0.766044373829654 0.416666666666667 0 0.540413533834586 0.467914438502674 0.494498701940907 0 0.446187128177393 0.517108592804489 0.487514863258026 0.430550355672033 0.430550355672033
"an" 0.489163154726069 0.358921769704073 0.358921769704073 0.358921769704073 0.623052959501558 0.276399175383676 0 1.22319301032566 0.475511174512601 0.401069518716578 0.475737392959087 0.450664136622391 0.450397060566552 0.453932032879401 0.469924812030075 0 0.451628238649869 0.457411299295339 0.489163154726069 0.475059382422803 0.325157933853586 0.210484398555053 0.112739571589628 0.421190565331337 0.240886462180825 0.47097542983601 0.392011834319527 0 0.469924812030075 0.401069518716578 0.457411299295339 0 0.513791238507301 0.451094729893278 0.451843043995244 0.421190565331337 0.421190565331337
"be" 0.323600240818784 0.336946967477293 0.336946967477293 0.336946967477293 0.495846313603323 0.731465221042987 0 0.365369340746624 0.380408939610081 0.200534759358289 0.380589914367269 0.426944971537002 0.426691952115681 0.441663599558336 0.37593984962406 0 0.427858331352508 0.432686364198294 0.323600240818784 0.380047505938242 0.594574507617986 0.216173166083568 0.112739571589628 0.383751403968551 0.278357689631176 0.323440957839187 0.229289940828402 0 0.37593984962406 0.200534759358289 0.432686364198294 0 0.324499729583559 0.473099350863681 0.428061831153389 0.383751403968551 0.383751403968551
"all" 0.436484045755569 0.0878992089071198 0.0878992089071198 0.0878992089071198 0.501038421599169 0.329846529739635 0 0.857823669579031 0.772705658582977 0.467914438502674 0.773073263558516 0.486242884250474 0.485954723242859 0.503005766163661 0.775375939849624 0 0.487283099595912 0.50686116948943 0.436484045755569 0.771971496437055 0.353028613898179 0.238928236197628 0.450958286358512 0.430550355672033 0.224827364702104 0.363161777222947 0.315581854043393 0 0.775375939849624 0.467914438502674 0.50686116948943 0 0.33802055164954 0.737154802508527 0.487514863258026 0.430550355672033 0.430550355672033
"passage" 0.50421432871764 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.321910695742471 0.0351225471482019 0 1.23907863383638 0.630052306229196 0.835561497326203 0.63035204567079 0.509962049335863 0.50965983169373 0.527542632805791 0.62265037593985 0 0.511053006893273 0.543948572134998 0.50421432871764 0.629453681710214 0.575994054254924 0.617231276843872 0 0.467989517034818 0.390771371982228 0.482324235374227 0.28353057199211 0 0.62265037593985 0.835561497326203 0.543948572134998 0 1.16279069767442 0.5831224557157 0.511296076099881 0.467989517034818 0.467989517034818
