"anon0501-readme_text" "arna-0440-source-readme_text" "arna0550-readme_text" "arna0660-readme_text" "arna0770-readme_text" "bagg0350-readme_text" "benh0350-readme_text" "bhav0565-readme_text" "blac0350-readme_text" "bree_xxx-readme_text" "butt_xxx-readme_text" "cox_0350-readme_text" "daim0350-readme_text" "diaz0350-readme_text" "dove0550-readme_text" "ekma0350-readme_text" "gasi0350-readme_text" "gerr0000-readme_text" "goet0350-readme_text" "jame0551-readme_text" "kenn0000-readme_text" "kenw0550-readme_text" "kina0660-readme_text" "kind0430-readme_text" "kine0350-readme_text" "king0350-readme_text" "kinm0551-readme_text" "kint0350-readme_text" "malm0350-readme_text" "malm1000-readme_text" "mcdo0551-readme_text" "munk0430-readme_text" "muno0370-readme_text" "olss0551-redme_text" "oska0551-readme_text" "pict0551-readme_text" "plat0550-readme_text" "plot0350-readme_text" "pohl0350-readme_text" "raym0430-readme_text" "supn0350-readme_text" "ticm0350-readme_text" "vane0560-readme_text" "well0550-readme_text" "whin0450-readme_text" "wood0350-readme_text" "yong_xxx-readme_text"
"for" 0.5 1.19047619047619 1.00133511348465 0.981675392670157 0.981675392670157 1.74563591022444 0 0.793650793650794 0.94876660341556 1.39442231075697 1.26582278481013 0.851063829787234 0.209643605870021 0 0.598802395209581 1.8 0 1.33289986996099 0.543478260869565 1.24223602484472 1.44927536231884 1.20898100172712 0.941176470588235 2.04081632653061 1.56028368794326 0.51413881748072 1.13475177304965 1.3 0 1.77514792899408 0.297760838494521 2.04081632653061 0 1.84049079754601 2.17391304347826 2.1259842519685 0.476190476190476 1.26182965299685 1.44927536231884 2.39234449760766 0.94876660341556 1.23626373626374 2.12765957446809 1.38568129330254 0.819672131147541 1.38888888888889 0
"s" 1 0.892857142857143 0.534045393858478 0.458115183246073 0.458115183246073 0 1.30718954248366 0 0.189753320683112 0.332005312084993 0.843881856540084 1.06382978723404 0.838574423480084 0 0 0 0 1.04031209362809 1.6304347826087 0.31055900621118 0.62111801242236 0 0.941176470588235 2.04081632653061 0 0.25706940874036 0.354609929078014 0.1 0 0 1.03620771796093 2.04081632653061 0 0 0.543478260869565 0.393700787401575 1.19047619047619 1.89274447949527 0.62111801242236 0.956937799043062 0.189753320683112 0.824175824175824 0 0 0.614754098360656 0 0
"this" 2 0.595238095238095 0.801068090787717 0.785340314136126 0.785340314136126 2.24438902743142 0.65359477124183 3.17460317460317 1.5180265654649 0.796812749003984 0.421940928270042 1.06382978723404 0.419287211740042 0 0.898203592814371 1.8 0 0.390117035110533 1.08695652173913 0.93167701863354 1.86335403726708 1.89982728842832 1.41176470588235 4.08163265306122 1.84397163120567 2.82776349614396 0.851063829787234 0.3 2.63157894736842 1.77514792899408 0.220343020485946 4.08163265306122 0 2.45398773006135 2.71739130434783 0.62992125984252 0.952380952380952 1.57728706624606 1.86335403726708 2.39234449760766 1.5180265654649 1.37362637362637 0 1.84757505773672 1.84426229508197 2.31481481481481 0
"game" 0 0.595238095238095 2.13618157543391 2.09424083769634 2.09424083769634 1.74563591022444 3.26797385620915 0 1.70777988614801 0.664010624169987 0 1.27659574468085 2.09643605870021 0 2.69461077844311 0 0 0.0325097529258778 1.08695652173913 0.62111801242236 0.82815734989648 0.345423143350604 1.41176470588235 0 0.141843971631206 0.77120822622108 0.638297872340426 0.4 7.89473684210526 1.77514792899408 0.0297760838494521 0 0 1.84049079754601 2.71739130434783 3.54330708661417 1.19047619047619 0 0.82815734989648 0.478468899521531 1.70777988614801 0.549450549450549 0 0.46189376443418 1.4344262295082 0.462962962962963 0
"on" 0 0.297619047619048 0.801068090787717 0.785340314136126 0.785340314136126 0.498753117206983 1.30718954248366 0 0.759013282732448 0.398406374501992 1.26582278481013 0.851063829787234 0.628930817610063 0 0.29940119760479 0.4 0 0.650195058517555 1.08695652173913 2.48447204968944 1.24223602484472 0.518134715025907 0.705882352941177 0 0.567375886524823 0.25706940874036 1.34751773049645 0.3 0 0 0.649118627918056 0 0 0 0 0.47244094488189 0.238095238095238 0.315457413249211 1.24223602484472 0.478468899521531 0.759013282732448 1.37362637362637 1.06382978723404 0.46189376443418 0.409836065573771 0.925925925925926 0
"with" 0 0.595238095238095 0.600801068090788 0.589005235602094 0.589005235602094 0.498753117206983 0.65359477124183 0 0.94876660341556 0.199203187250996 0.421940928270042 0.212765957446809 0.628930817610063 0 0.898203592814371 0.8 0 0.617685305591678 0 0.31055900621118 0.82815734989648 0.690846286701209 0.941176470588235 0 0.851063829787234 0.51413881748072 1.20567375886525 0.5 0 0 0.672939494997618 0 0 0.613496932515337 1.08695652173913 0.62992125984252 0.714285714285714 0.315457413249211 0.82815734989648 0.956937799043062 0.94876660341556 1.23626373626374 3.19148936170213 0.46189376443418 0.819672131147541 0 0
"by" 0 0.595238095238095 1.13484646194927 1.11256544502618 1.11256544502618 0.498753117206983 2.61437908496732 0 1.13851992409867 0.531208499335989 0.421940928270042 0 0.838574423480084 0 0.898203592814371 0 0 0.260078023407022 0.543478260869565 0 0.82815734989648 1.89982728842832 1.41176470588235 2.04081632653061 0.567375886524823 1.54241645244216 0.638297872340426 1 5.26315789473684 1.18343195266272 0.309671272034302 2.04081632653061 0 1.84049079754601 0 0.866141732283465 0.714285714285714 0 0.82815734989648 0.956937799043062 1.13851992409867 0.549450549450549 3.19148936170213 1.38568129330254 0.614754098360656 0 0
"at" 0.5 0.595238095238095 0.133511348464619 0.196335078534031 0.196335078534031 0 1.30718954248366 0.793650793650794 0.759013282732448 0.464807436918991 0.421940928270042 0 0 0 0 0.4 0 0.487646293888166 0 0 0.41407867494824 0.345423143350604 0.235294117647059 0 0.567375886524823 0.51413881748072 0.425531914893617 0.2 0 0 0.934969032872797 0 0 0.613496932515337 0 0 0 0.630914826498423 0.41407867494824 0.478468899521531 0.759013282732448 0.137362637362637 1.06382978723404 0.23094688221709 1.02459016393443 0 0
"i" 1 0.595238095238095 0.200267022696929 0.196335078534031 0.196335078534031 0 0 0 0.379506641366224 0.398406374501992 2.10970464135021 0.851063829787234 0.628930817610063 0 0.29940119760479 2 0 0.942782834850455 2.17391304347826 0.62111801242236 0.20703933747412 1.20898100172712 0.235294117647059 0 1.41843971631206 0 1.06382978723404 1.1 0 0.591715976331361 0.375178656503097 0 0 2.45398773006135 1.08695652173913 0 1.19047619047619 1.26182965299685 0.20703933747412 0 0.379506641366224 0.549450549450549 0 1.61662817551963 1.02459016393443 0 0
"be" 2 0.297619047619048 1.53538050734312 1.50523560209424 1.50523560209424 0.498753117206983 0 0 1.32827324478178 0.132802124833997 0 0.212765957446809 0.838574423480084 0 0.898203592814371 0.2 0 0.455136540962289 0 0 0.41407867494824 0.345423143350604 0.470588235294118 2.04081632653061 0.283687943262411 0.51413881748072 0.0709219858156028 0.6 0 0.591715976331361 0.291805621724631 2.04081632653061 0 0.613496932515337 0.543478260869565 0.94488188976378 0.714285714285714 0 0.41407867494824 0 1.32827324478178 0.824175824175824 0 0.46189376443418 0.614754098360656 0.462962962962963 0
